SRC,TRG 
the chicken with the badgers hoped past,the chicken with the badgers hoped
the dogs laughed past,the dogs laughed
near the zebra he laughed past,near the zebra he laughed
she laughed past,she laughed
the badgers died past,the badgers died
the humble robins hoped past,the humble robins hoped
the dogs laughed pres,the dogs laugh
they laughed past,they laughed
near a zebra near the badger a chicken with a zebra laughed pres,near a zebra near the badger a chicken with a zebra laughs
the chickens laughed pres,the chickens laugh
near the kindly zebras they danced past,near the kindly zebras they danced
near the chickens the zebras near them died past,near the chickens the zebras near them died
a lovely zebra danced past,a lovely zebra danced
they laughed past,they laughed
the zebra laughed pres,the zebra laughs
the frog with the zebras near her laughed pres,the frog with the zebras near her laughs
with the dogs most zebras with him laughed past,with the dogs most zebras with him laughed
a chicken laughed pres,a chicken laughs
with a robin she laughed past,with a robin she laughed
the zebras laughed pres,the zebras laugh
the gentle frogs laughed pres,the gentle frogs laugh
they burped pres,they burp
the kindly dogs coughed past,the kindly dogs coughed
the zebras coughed past,the zebras coughed
with the gentle gentle badger a robin near the gentle zebras coughed pres,with the gentle gentle badger a robin near the gentle zebras coughs
the robins burped past,the robins burped
he laughed pres,he laughs
she laughed past,she laughed
the zebras near her laughed pres,the zebras near her laugh
she laughed past,she laughed
the zebras with most zebras with the badgers burped pres,the zebras with most zebras with the badgers burp
the chickens burped past,the chickens burped
the clever humble badger danced past,the clever humble badger danced
the zebras laughed past,the zebras laughed
they laughed pres,they laugh
with them most dogs near the jocular dogs burped past,with them most dogs near the jocular dogs burped
near a chicken the chicken coughed past,near a chicken the chicken coughed
near the humble zebras the badgers laughed past,near the humble zebras the badgers laughed
they laughed past,they laughed
she coughed past,she coughed
he laughed past,he laughed
the gentle badgers danced pres,the gentle badgers dance
a robin laughed pres,a robin laughs
the zebra laughed past,the zebra laughed
the chickens near them danced past,the chickens near them danced
the chickens near her hoped pres,the chickens near her hope
near them most frogs danced pres,near them most frogs dance
the zebras with most chickens hoped pres,the zebras with most chickens hope
most chickens near the zebras near the dogs laughed pres,most chickens near the zebras near the dogs laugh
near the zebras the gentle zebras burped past,near the zebras the gentle zebras burped
near the badgers the robins laughed past,near the badgers the robins laughed
the gentle clever badgers laughed past,the gentle clever badgers laughed
the zebra hoped past,the zebra hoped
the gentle badger burped pres,the gentle badger burps
a zebra near the zebra laughed past,a zebra near the zebra laughed
most humble clever gentle chickens laughed pres,most humble clever gentle chickens laugh
most gentle gentle chickens laughed past,most gentle gentle chickens laughed
most badgers danced past,most badgers danced
a gentle clever robin hoped pres,a gentle clever robin hopes
a badger laughed past,a badger laughed
the dogs burped pres,the dogs burp
most badgers with a chicken burped pres,most badgers with a chicken burp
a zebra near the humble jocular humble humble dogs laughed pres,a zebra near the humble jocular humble humble dogs laughs
the zebras near the humble humble badger coughed past,the zebras near the humble humble badger coughed
a gentle zebra hoped pres,a gentle zebra hopes
near a chicken the robin danced pres,near a chicken the robin dances
the zebras burped past,the zebras burped
with the gentle robin she laughed pres,with the gentle robin she laughs
the badgers laughed pres,the badgers laugh
the zebra danced past,the zebra danced
the zebras near the zebra near the robins near the dogs near the badgers near a jocular clever dog laughed past,the zebras near the zebra near the robins near the dogs near the badgers near a jocular clever dog laughed
a zebra danced past,a zebra danced
the chickens laughed pres,the chickens laugh
she coughed pres,she coughs
with her the zebra burped pres,with her the zebra burps
the zebras near a humble badger burped past,the zebras near a humble badger burped
a dog laughed pres,a dog laughs
most clever clever chickens hoped past,most clever clever chickens hoped
most chickens near the humble zebras laughed past,most chickens near the humble zebras laughed
the badgers laughed past,the badgers laughed
most dogs coughed past,most dogs coughed
they danced past,they danced
near them the gentle kindly zebras laughed past,near them the gentle kindly zebras laughed
he danced pres,he dances
he danced pres,he dances
the zebras near the badgers hoped pres,the zebras near the badgers hope
he hoped pres,he hopes
a jocular gentle lovely robin danced pres,a jocular gentle lovely robin dances
near them the badgers danced pres,near them the badgers dance
the frogs danced pres,the frogs dance
they burped past,they burped
the dogs danced pres,the dogs dance
the zebra near the gentle dogs hoped pres,the zebra near the gentle dogs hopes
the zebras hoped past,the zebras hoped
near them most gentle dogs laughed pres,near them most gentle dogs laugh
the lovely dog danced past,the lovely dog danced
most zebras hoped past,most zebras hoped
the gentle zebra laughed past,the gentle zebra laughed
most badgers laughed pres,most badgers laugh
the chicken with him died pres,the chicken with him dies
the chickens laughed pres,the chickens laugh
the lovely chickens danced past,the lovely chickens danced
the zebras near the badger laughed past,the zebras near the badger laughed
with the clever zebras the zebras near most gentle robins danced pres,with the clever zebras the zebras near most gentle robins dance
most kindly badgers laughed past,most kindly badgers laughed
they danced pres,they dance
they hoped pres,they hope
