SRC,TRG
most gentle chickens laughed past,most gentle chickens laughed
the zebra danced past,the zebra danced
the chicken near the humble badgers laughed pres,the chicken near the humble badgers laughs
the chickens laughed past,the chickens laughed
the kindly chickens burped pres,the kindly chickens burp
the chicken with them coughed pres,the chicken with them coughs
the humble zebras danced pres,the humble zebras dance
a gentle zebra burped past,a gentle zebra burped
the chickens near the zebra danced past,the chickens near the zebra danced
a zebra laughed past,a zebra laughed
most humble gentle clever dogs hoped pres,most humble gentle clever dogs hope
near the badgers most humble badgers hoped pres,near the badgers most humble badgers hope
a badger danced past,a badger danced
the chicken near the chickens near the robins with the clever chickens hoped past,the chicken near the chickens near the robins with the clever chickens hoped
the zebra near the zebras laughed pres,the zebra near the zebras laughs
near them they died past,near them they died
the gentle badgers coughed past,the gentle badgers coughed
a humble gentle zebra burped pres,a humble gentle zebra burps
the chickens coughed past,the chickens coughed
most zebras near the zebras laughed past,most zebras near the zebras laughed
the dogs hoped past,the dogs hoped
a zebra with the zebra laughed pres,a zebra with the zebra laughs
most gentle zebras burped pres,most gentle zebras burp
the badgers near a robin near him laughed pres,the badgers near a robin near him laugh
the zebras laughed past,the zebras laughed
the robins hoped pres,the robins hope
the badger danced past,the badger danced
she burped pres,she burps
a chicken near most kindly gentle clever jocular badgers burped pres,a chicken near most kindly gentle clever jocular badgers burps
they danced pres,they dance
they hoped past,they hoped
a lovely badger laughed past,a lovely badger laughed
the zebras near a badger died past,the zebras near a badger died
the dogs with the chickens hoped pres,the dogs with the chickens hope
he burped past,he burped
a jocular gentle zebra hoped past,a jocular gentle zebra hoped
with most chickens the humble zebras laughed past,with most chickens the humble zebras laughed
a clever clever zebra hoped past,a clever clever zebra hoped
the clever badgers danced past,the clever badgers danced
most chickens laughed past,most chickens laughed
a robin danced pres,a robin dances
the chicken near a zebra died past,the chicken near a zebra died
near most gentle gentle badgers they laughed pres,near most gentle gentle badgers they laugh
the dogs near the robin near the zebras hoped past,the dogs near the robin near the zebras hoped
near most chickens near the chickens they danced past,near most chickens near the chickens they danced
the zebras near a badger near them laughed pres,the zebras near a badger near them laugh
the gentle zebras hoped pres,the gentle zebras hope
a gentle badger hoped pres,a gentle badger hopes
near most zebras with most zebras with the zebras the clever zebras laughed past,near most zebras with most zebras with the zebras the clever zebras laughed
the zebras hoped pres,the zebras hope
the robin near the zebra near the zebras hoped pres,the robin near the zebra near the zebras hopes
near the dogs they hoped past,near the dogs they hoped
they laughed pres,they laugh
the zebras near the dogs hoped past,the zebras near the dogs hoped
a zebra burped past,a zebra burped
the dog near her laughed past,the dog near her laughed
the jocular zebra hoped past,the jocular zebra hoped
near the humble badgers the robins burped past,near the humble badgers the robins burped
they danced past,they danced
a chicken laughed past,a chicken laughed
the clever badgers laughed pres,the clever badgers laugh
they laughed past,they laughed
she laughed pres,she laughs
they coughed pres,they cough
the jocular kindly chicken coughed past,the jocular kindly chicken coughed
the zebra burped past,the zebra burped
near her the zebra laughed pres,near her the zebra laughs
the robins coughed pres,the robins cough
the dogs near the badgers laughed pres,the dogs near the badgers laugh
with most zebras the gentle gentle dogs burped past,with most zebras the gentle gentle dogs burped
the gentle zebra danced past,the gentle zebra danced
the zebra laughed past,the zebra laughed
with the robin a zebra near the badger died pres,with the robin a zebra near the badger dies
a robin died past,a robin died
most clever dogs laughed pres,most clever dogs laugh
the zebras burped past,the zebras burped
the kindly humble zebra laughed pres,the kindly humble zebra laughs
a zebra with her laughed past,a zebra with her laughed
the zebras burped past,the zebras burped
the robin hoped pres,the robin hopes
a humble chicken laughed pres,a humble chicken laughs
the gentle gentle zebras laughed pres,the gentle gentle zebras laugh
near most robins near the humble badgers the chickens near the dog near the clever dog laughed pres,near most robins near the humble badgers the chickens near the dog near the clever dog laugh
he danced past,he danced
a zebra danced pres,a zebra dances
a gentle gentle humble frog danced past,a gentle gentle humble frog danced
the zebra laughed pres,the zebra laughs
he burped pres,he burps
they coughed pres,they cough
near the gentle zebra a chicken near a dog laughed past,near the gentle zebra a chicken near a dog laughed
with most chickens they hoped past,with most chickens they hoped
near the zebras the zebras hoped pres,near the zebras the zebras hope
she danced pres,she dances
with a lovely chicken a badger laughed pres,with a lovely chicken a badger laughs
the zebra near the lovely zebras hoped past,the zebra near the lovely zebras hoped
with a zebra a zebra laughed past,with a zebra a zebra laughed
the clever badgers laughed past,the clever badgers laughed
the zebras with them burped pres,the zebras with them burp
they hoped past,they hoped
near the lovely zebras most zebras hoped pres,near the lovely zebras most zebras hope
she hoped pres,she hopes
the zebra with him laughed past,the zebra with him laughed
the zebras died past,the zebras died
he danced pres,he dances
near the clever zebras most chickens danced past,near the clever zebras most chickens danced
the chickens danced pres,the chickens dance
the badgers near the dogs hoped pres,the badgers near the dogs hope
a chicken with him burped past,a chicken with him burped
the gentle dogs danced pres,the gentle dogs dance
the zebra hoped pres,the zebra hopes
a chicken laughed pres,a chicken laughs
she danced past,she danced
they laughed pres,they laugh
the humble zebras laughed past,the humble zebras laughed
the gentle clever gentle robin laughed pres,the gentle clever gentle robin laughs
the humble zebras laughed pres,the humble zebras laugh
the gentle gentle badgers hoped past,the gentle gentle badgers hoped
a jocular gentle lovely robin danced pres,a jocular gentle lovely robin dances
most gentle zebras hoped past,most gentle zebras hoped
the badgers laughed pres,the badgers laugh
the zebras with her laughed past,the zebras with her laughed
most kindly humble kindly gentle zebras laughed past,most kindly humble kindly gentle zebras laughed
a gentle zebra danced past,a gentle zebra danced
the dog danced past,the dog danced
the badger laughed pres,the badger laughs
near most zebras near the zebra near the badgers the frogs laughed pres,near most zebras near the zebra near the badgers the frogs laugh
she laughed pres,she laughs
the zebra hoped pres,the zebra hopes
the chickens with the badger coughed past,the chickens with the badger coughed
they coughed pres,they cough
